Group_Type,Group,MAE,RMSE,Mean_Target,Count
Market,0.0,0.05013095348804713,0.08768881922658074,0.0015566947636451369,90330
Market,1.0,0.033499902423249364,0.0629693237734442,0.0028646618546164693,240494
Market,2.0,0.03757961019860481,0.057219264016813175,0.005447356686980365,241655
Industry,16.0,0.02297825912617036,0.03530800101112404,-0.0013929473529599955,1872
Industry,32.0,0.023628816886155254,0.03594516591505045,0.0026310725100717382,19209
Industry,19.0,0.023655414006134398,0.035202568900166445,0.000981409248132902,855
Industry,28.0,0.025886250017544698,0.03585899191830549,0.001756229955915522,8735
Industry,8.0,0.027054129604139502,0.037691720596857964,0.003048385910159879,4828
Industry,12.0,0.028457583179628876,0.04756163666548668,0.0015298195292622139,50135
Industry,5.0,0.029196784579862432,0.046631606875724006,0.004815558487018074,3744
Industry,6.0,0.03147633163639002,0.050056954396644295,0.0012707175897280502,20124
Industry,11.0,0.0315844073314651,0.05399631273543513,0.004056717147350193,43552
Industry,1.0,0.032090258662654185,0.05044668005927554,0.0023611768088294648,6035
Industry,3.0,0.03262863048741142,0.046027562399270604,0.005798761498845221,2496
Industry,0.0,0.032893782403569716,0.06557545289259481,0.004461339822227174,16060
Industry,22.0,0.03333070401259962,0.052536476147125186,0.004674443649176981,5730
Industry,25.0,0.03357198564912275,0.05496996380580696,0.004868174049234626,5772
Industry,21.0,0.03362543345742313,0.06914640715146073,0.00387105630107394,7466
Industry,4.0,0.03412281777259244,0.06645418449519683,0.0012218728802330817,81926
Industry,7.0,0.035601858401293235,0.04777098533352535,0.002579162031091859,2184
Industry,24.0,0.03578618564435148,0.06404501042658418,0.00617459929399672,13128
Industry,29.0,0.03579454351889538,0.05405034422559043,0.003985658305501856,4368
Industry,18.0,0.03653904531089609,0.05648862379374364,0.005655343187253844,1404
Industry,13.0,0.03703855834780264,0.055310781126118064,0.002091274803472326,21837
Industry,9.0,0.040185363975504096,0.06480938776754269,0.006869287558349652,31137
Industry,23.0,0.04040617362688624,0.06456628663771892,0.0033583514635210075,12636
Industry,27.0,0.040519662408060916,0.05279234313287612,0.015411399367670903,12283
Industry,14.0,0.041746047854805846,0.07200358255852843,0.0008102496883598238,92540
Industry,17.0,0.04288102043088555,0.07115234255648255,0.0106646794090342,1716
Industry,2.0,0.04474636992494304,0.0684038006112729,0.00552147847430123,7644
Industry,15.0,0.04675312495543869,0.07604374450855031,0.006988544361556171,32170
Industry,10.0,0.04920160707676123,0.08036136800587818,-1.435652085276657e-05,12118
Industry,20.0,0.05558897058927713,0.09737977850275473,0.011267593218472743,8112
Industry,30.0,0.05655985608624134,0.09193888096467928,0.010885470763459094,34891
Industry,26.0,0.06096498664920141,0.08399667948761665,0.01024941585156463,780
Industry,31.0,0.0677060893052079,0.0972368537075314,0.00865253807027266,4992
Size,0.0,0.03804839290428997,0.07099034103042805,0.0024094810134260994,317894
Size,1.0,0.04134615644258238,0.0566534593618332,0.006227387027007471,4836
Size,2.0,0.042496955309278016,0.05929346910731205,0.006675415727350404,10608
Size,3.0,0.040094975877814146,0.057259385665109214,0.005557990650036295,61267
Size,4.0,0.03800656140712056,0.05555966456656455,0.005766209404532771,75504
Size,5.0,0.03510692035277231,0.05851619542597808,0.004915013258185065,102370
